,1,2,3,4,5,6,7,8,9,10,11
0,16,7,12,1,,,3,16,1,,
1,8,7,17,3,,,3,12,3,1,
2,11,5,15,2,,,3,24,1,,
3,9,4,25,4,,,2,17,,,
4,19,6,12,1,,,2,26,6,,
5,9,5,25,2,,,3,14,6,1,
6,12,7,20,1,,,3,10,5,,
7,9,6,8,3,,,3,21,6,,
8,11,3,10,2,,,2,11,2,2,
9,12,11,10,1,,,2,10,1,,
10,4,2,23,2,,,2,24,2,,
11,13,3,25,3,,,3,25,2,2,
12,23,11,11,2,,,3,15,3,,
13,9,8,12,2,,,3,11,2,,
14,18,11,12,4,,,3,16,2,,
15,13,4,16,2,,,3,12,1,1,
16,12,12,16,2,,,3,13,6,1,
17,22,8,13,1,,,2,17,1,,
18,7,7,12,2,,,3,20,1,1,
19,18,4,18,5,,,3,13,3,1,
20,6,6,16,2,,1,2,20,,,
21,18,8,19,3,,,3,16,,1,
22,13,4,16,,,,3,21,2,,
23,18,5,21,1,,,3,16,2,1,
24,12,2,11,1,,,3,19,5,,
25,16,6,18,1,,,3,12,3,,
26,7,4,10,2,,,3,17,,2,2
27,12,5,17,2,,,3,11,6,2,
28,27,4,14,1,,,3,13,2,,
29,8,5,11,3,,,3,14,,,
30,12,3,13,1,,,3,18,2,2,
31,13,4,18,4,,,2,14,1,,1
32,17,9,16,3,,,3,15,4,1,2
33,16,3,15,2,,,3,16,2,,2
34,23,7,18,3,,,3,19,5,,
35,9,2,17,2,,,2,19,4,,
36,18,11,10,,,,2,10,5,,
37,7,2,9,1,,,3,10,1,1,
38,16,8,13,,,,3,20,1,,
39,16,3,20,1,,,3,13,1,,
40,19,7,15,,,,3,14,4,,
41,6,2,13,3,,,3,18,2,,1
42,24,13,14,1,,,3,17,,,
43,7,1,17,3,,,3,14,7,,
44,15,5,13,4,,,3,11,3,,
45,15,6,11,1,,,3,13,1,1,
46,16,8,10,2,,,3,15,,1,
47,5,2,13,2,,,3,10,1,2,
48,13,8,13,2,,,3,19,9,,1
49,5,6,18,3,,,3,15,3,,
50,18,4,10,,,,3,19,6,,
51,9,6,18,2,,,3,10,6,,
52,12,4,12,1,,,3,15,1,,
53,11,10,15,3,,,3,12,2,,
54,9,5,13,3,,,3,9,1,,1
55,24,6,8,3,,,3,13,3,,
56,10,2,9,4,,,3,8,,,1
57,15,5,8,2,,,2,9,9,,
58,11,3,14,2,,,3,21,1,1,
59,8,3,21,2,,,3,14,5,,
60,13,7,15,1,,,3,15,2,1,
61,7,4,15,1,,,1,16,,1,
62,13,6,8,1,,,3,9,1,,
63,7,1,9,2,,,3,8,4,1,1
64,7,8,12,,,,3,14,2,2,
65,11,8,13,3,,,3,12,5,,
66,20,7,8,3,,,3,21,2,1,
67,9,,21,2,,,1,8,5,,
68,13,9,18,5,,,3,15,2,,
69,7,2,14,2,,,3,18,2,2,
70,13,2,11,3,,,3,12,4,,
71,14,5,12,1,,,3,14,6,1,
72,16,7,17,1,,,3,17,3,,
73,9,1,16,2,,,3,17,2,1,
74,17,7,18,4,,,1,9,,2,
75,13,1,8,1,,,3,18,5,2,
76,21,8,12,1,,,3,18,1,,1
77,7,6,18,2,,,3,13,1,,
78,11,7,15,3,,,3,20,4,,
79,9,5,20,4,,,3,16,5,2,
80,12,5,9,,,,3,12,2,1,
81,12,5,12,2,,,3,12,,,
82,12,4,16,1,,,3,16,2,,2
83,17,2,16,1,,,3,17,1,,2
84,11,5,16,3,,,3,15,5,1,
85,11,4,13,,,,3,16,1,1,
86,25,5,12,2,,,3,16,1,,
87,4,3,15,4,,,3,11,1,,
88,7,1,21,3,,,3,17,4,,
89,18,8,15,3,,,3,22,1,1,
90,26,12,16,1,,,3,24,3,1,1
91,11,1,23,4,,,3,15,2,4,
92,6,1,18,2,,1,3,14,1,1,
93,23,14,14,4,,,3,18,,1,
94,6,,17,2,,,3,14,1,1,
95,18,7,14,3,,,3,16,3,,1
96,16,10,10,1,,,3,14,4,2,
97,8,1,15,3,,,3,11,2,1,
98,13,4,20,4,,,3,13,4,,
99,7,1,12,3,,,3,21,1,,1
100,12,4,16,2,,,3,15,5,2,1
101,8,4,15,1,,1,3,16,,1,
102,16,3,9,,,,3,12,,1,
103,10,,12,3,,,3,9,2,1,1
104,18,9,11,1,,,3,18,1,,
105,4,3,18,5,,,3,11,3,,
106,14,3,19,1,,,3,18,1,,
107,10,6,19,6,,,2,21,6,1,
108,15,6,14,,,,3,15,4,,
109,12,5,14,2,,,3,15,5,,
110,16,4,10,,,,3,11,3,,
111,21,3,10,1,,,3,10,2,2,
112,11,5,14,4,,,3,13,2,,
113,18,7,13,3,,1,3,14,2,,
114,16,4,11,,,,3,20,2,,
115,14,5,20,2,,,3,12,1,1,
116,11,4,19,2,,,3,17,4,1,
117,10,4,17,3,,,3,19,1,,
118,17,8,12,4,,,3,10,4,1,1
